iter	RMSE
0	0.5049392815
1	0.5013762972
2	0.4979161693
3	0.494517384
4	0.4913371504
5	0.4879184297
6	0.4844590673
7	0.4818586453
8	0.4792655588
9	0.4763516483
10	0.4743536
11	0.4720072781
12	0.4696788597
13	0.4672800947
14	0.4650049744
15	0.463009374
16	0.4611321916
17	0.4590094377
18	0.4569146364
19	0.4551583173
20	0.45374301
21	0.4517879581
22	0.4494254024
23	0.4472683167
24	0.4457800942
25	0.4447880216
26	0.4426543984
27	0.4410301406
28	0.4396542926
29	0.438544342
30	0.437545697
31	0.436449293
32	0.4355184114
33	0.4342737777
34	0.4331521945
35	0.4320593845
36	0.4307109845
37	0.4294110729
38	0.4286285305
39	0.4278614857
40	0.4270716614
41	0.4259608561
42	0.4253345954
43	0.4243382151
44	0.4234691489
45	0.4227728816
46	0.4223831256
47	0.4217783899
48	0.421132413
49	0.4199262131
50	0.4187381403
51	0.4180822528
52	0.4177015732
53	0.416968119
54	0.4161438794
55	0.4156333501
56	0.4150930143
57	0.4143107978
58	0.4133215237
59	0.4129063452
60	0.4125072896
61	0.4122123292
62	0.4116635293
63	0.4110166143
64	0.4105300404
65	0.4099085014
66	0.4096720082
67	0.4089300783
68	0.4087039232
69	0.4080794146
70	0.4077824562
71	0.4075155932
72	0.4069481735
73	0.4062915834
74	0.4053273418
75	0.4048546549
76	0.4045526724
77	0.4041256446
78	0.4035894943
79	0.4030393949
80	0.402945994
81	0.4021839716
82	0.4020211392
83	0.4015812664
84	0.4010114925
85	0.4008030629
86	0.4004443467
87	0.3999927459
88	0.3996767848
89	0.3991799582
90	0.3986304656
91	0.398087741
92	0.3978713327
93	0.397639824
94	0.3973474623
95	0.397040119
96	0.3968421211
97	0.3962050095
98	0.3955688098
99	0.3950883823
100	0.3948421279
101	0.394477031
102	0.394176989
103	0.3939559529
104	0.3935946437
105	0.3933118053
106	0.3931503232
107	0.3927050546
108	0.3926004367
109	0.3922943942
110	0.3920492053
111	0.3918408633
112	0.3913722171
113	0.3910931941
114	0.3908331158
115	0.3906047695
116	0.3904202201
117	0.3901760195
118	0.3898147463
119	0.38939408
120	0.3890820643
121	0.3887187296
122	0.3882062401
123	0.3879909685
124	0.3876662024
125	0.3873351299
126	0.3870651662
127	0.3866411195
128	0.3860972055
129	0.3857729221
130	0.3856535992
131	0.385388506
132	0.3849581133
133	0.3843724612
134	0.3842584894
135	0.3836093996
136	0.3831004278
137	0.3824484644
138	0.3821918108
139	0.381947823
140	0.3817363242
141	0.3816240547
142	0.3813256586
143	0.3812291639
144	0.3809660851
145	0.380447348
146	0.3801682912
147	0.3797643784
148	0.379621092
149	0.3789793448
150	0.3787347269
151	0.3782536073
152	0.3781320653
153	0.3780208743
154	0.3776502144
155	0.3773271689
156	0.377118218
157	0.3767809133
158	0.3761814591
159	0.3753150587
160	0.374675292
161	0.3746148973
162	0.3745982747
163	0.3743217538
164	0.3737671625
165	0.3733142064
166	0.3731594902
167	0.3730573925
168	0.3727705141
169	0.3726703895
170	0.3724132778
171	0.372171754
172	0.3720948423
173	0.3717148386
174	0.3715164846
175	0.3710240778
176	0.370738429
177	0.3700049209
178	0.369634326
179	0.369057674
180	0.3685402442
181	0.3680150314
182	0.367685822
183	0.3672851972
184	0.3670392872
185	0.3669055458
186	0.3665968022
187	0.3661713587
188	0.3656233057
189	0.3653306573
190	0.3651456822
191	0.3649664834
192	0.3643852398
193	0.3639203499
194	0.363690971
195	0.3636542602
196	0.3635196362
197	0.3631817233
198	0.3623396061
199	0.3616858432
200	0.3611909012
201	0.3607894346
202	0.3601968249
203	0.3595704038
204	0.3594598823
205	0.3590730263
206	0.3589003125
207	0.3584711168
208	0.3579874282
209	0.3574930151
210	0.3568982084
211	0.3563680952
212	0.3557760487
213	0.3555188875
214	0.3550771192
215	0.3546875469
216	0.3542082657
217	0.3537374361
218	0.3532298825
219	0.3530884395
220	0.3525326273
221	0.352079907
222	0.351584978
223	0.3510055964
224	0.350362243
225	0.3501465455
226	0.3495727728
227	0.3493856757
228	0.3491662497
229	0.3483276195
230	0.3481402383
231	0.3478229869
232	0.3473218079
233	0.3468520485
234	0.3463364397
235	0.3456159832
236	0.3453871771
237	0.3445246864
238	0.3441980647
239	0.3439881402
240	0.3431629601
241	0.342803714
242	0.3422952714
243	0.3420261954
244	0.3416800141
245	0.3415960121
246	0.341405114
247	0.3407065378
248	0.3404439559
249	0.3396312705
