iter	Passed	Remaining
0	1	1468
1	2	1320
2	3	1268
3	5	1269
4	6	1238
5	7	1260
6	8	1265
7	10	1264
8	11	1264
9	12	1285
10	14	1287
11	15	1295
12	17	1298
13	18	1316
14	20	1319
15	21	1318
16	22	1301
17	23	1296
18	25	1295
19	26	1291
20	27	1286
21	29	1290
22	30	1286
23	31	1282
24	33	1290
25	34	1287
26	35	1290
27	37	1291
28	38	1291
29	39	1289
30	41	1294
31	42	1289
32	44	1290
33	44	1276
34	46	1273
35	47	1275
36	48	1272
37	50	1269
38	51	1271
39	52	1268
40	54	1270
41	55	1267
42	56	1268
43	58	1264
44	59	1260
45	60	1262
46	62	1261
47	63	1257
48	64	1258
49	66	1262
50	67	1260
51	68	1255
52	70	1259
53	71	1257
54	73	1257
55	74	1258
56	76	1258
57	77	1254
58	78	1255
59	79	1252
60	81	1251
61	82	1249
62	83	1246
63	85	1246
64	86	1244
65	87	1244
66	89	1242
67	90	1242
68	91	1239
69	93	1237
70	94	1236
71	95	1231
72	96	1230
73	98	1228
74	99	1226
75	100	1227
76	102	1225
77	103	1225
78	104	1221
79	106	1221
80	107	1218
81	108	1218
82	110	1216
83	111	1214
84	112	1215
85	113	1206
86	114	1205
87	116	1203
88	117	1199
89	118	1198
90	119	1194
91	121	1194
92	122	1189
93	123	1188
94	124	1189
95	126	1189
96	127	1189
97	129	1187
98	130	1187
99	131	1186
100	133	1186
101	134	1184
102	135	1182
103	136	1178
104	138	1176
105	139	1173
106	140	1172
107	141	1171
108	142	1166
109	144	1166
110	145	1165
111	147	1165
112	148	1163
113	149	1163
114	150	1161
115	152	1160
116	153	1158
117	154	1157
118	156	1156
119	157	1155
120	158	1154
121	160	1152
122	161	1151
123	162	1150
124	163	1144
125	164	1144
126	166	1142
127	167	1141
128	168	1139
129	170	1139
130	171	1138
131	173	1137
132	174	1135
133	175	1135
134	177	1134
135	178	1133
136	179	1132
137	180	1129
138	184	1140
139	186	1142
140	187	1140
141	188	1138
142	189	1135
143	190	1134
144	192	1132
145	193	1130
146	194	1128
147	195	1126
148	197	1125
149	198	1123
150	199	1121
151	200	1118
152	201	1115
153	202	1114
154	204	1112
155	205	1110
156	206	1109
157	208	1108
158	209	1107
159	210	1106
160	211	1104
161	213	1103
162	214	1101
163	215	1100
164	217	1098
165	217	1094
166	219	1094
167	221	1094
168	222	1095
169	224	1094
170	225	1093
171	226	1092
172	228	1090
173	229	1089
174	230	1088
175	232	1086
176	233	1085
177	234	1083
178	236	1082
179	237	1081
180	238	1081
181	240	1079
182	241	1079
183	243	1078
184	244	1077
185	245	1075
186	247	1075
187	248	1074
188	250	1072
189	251	1071
190	252	1070
191	254	1069
192	255	1068
193	256	1066
194	258	1065
195	259	1064
196	260	1063
197	261	1060
198	263	1062
199	265	1060
200	265	1057
201	270	1067
202	271	1064
203	272	1063
204	273	1060
205	274	1059
206	275	1057
207	277	1056
208	278	1053
209	279	1051
210	280	1050
211	282	1049
212	283	1048
213	285	1047
214	286	1045
215	287	1044
216	289	1043
217	290	1042
218	292	1041
219	293	1040
220	294	1038
221	295	1036
222	297	1035
223	298	1033
224	299	1032
225	300	1030
226	302	1029
227	303	1028
228	305	1027
229	306	1026
230	307	1024
231	309	1023
232	310	1022
233	311	1020
234	312	1018
235	314	1017
236	315	1015
237	316	1014
238	318	1013
239	319	1011
240	320	1010
241	322	1009
242	323	1007
243	324	1006
244	326	1006
245	327	1004
246	329	1002
247	330	1001
248	331	1000
249	332	998
250	334	998
251	335	995
252	336	994
253	338	993
254	339	992
255	341	991
256	342	989
257	343	988
258	345	987
259	346	986
260	347	984
261	349	983
262	350	982
263	351	981
264	353	979
265	354	977
266	355	976
267	356	974
268	358	973
269	359	971
270	360	970
271	362	969
272	363	967
273	364	966
274	366	965
275	367	963
276	368	962
277	370	961
278	372	961
279	373	960
280	374	958
281	375	956
282	377	955
283	378	953
284	379	952
285	380	950
286	382	949
287	383	947
288	384	946
289	386	945
290	387	943
291	388	942
292	389	940
293	391	939
294	392	937
295	393	936
296	394	934
297	396	933
298	397	931
299	398	930
300	400	929
301	401	928
302	402	926
303	404	925
304	405	924
305	407	923
306	408	921
307	409	919
308	410	917
309	411	916
310	412	914
311	414	913
312	415	912
313	417	911
314	418	910
315	419	908
316	421	907
317	422	906
318	424	905
319	425	904
320	427	904
